,text,embeddings,distances
43,"March 8 – The US and UK announce a ban on Russian oil, while the EU announces a two-thirds reduction in its demand for Russian gas.","[-0.00496672 -0.02377656  0.0129835  ...  0.02684574  0.01547323
 -0.00160384]",0.1939912210153606
44,March 9 – 2022 South Korean presidential election: People Power Party candidate Yoon Suk-yeol is narrowly elected President of South Korea.,"[-0.01134126 -0.03468207  0.02220605 ...  0.00885233  0.00037851
  0.00260178]",0.2546676622891242
45,March 9 – Russian invasion of Ukraine: Russia is condemned by world leaders following an air strike in Mariupol that destroys a hospital including a maternity and children's ward.,"[ 0.00083925 -0.01040058  0.00272175 ...  0.01200707  0.01789541
 -0.00300977]",0.12697175399869598
46,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote.","[-0.01303022 -0.01212714 -0.00016258 ... -0.00062208  0.0042832
 -0.0287697 ]",0.23595765145004688
47,March 11 – Gabriel Boric is sworn in as President of Chile. He becomes the youngest head of state in the nation's history and the first to be born during the military dictatorship of Augusto Pinochet.,"[-0.0125259  -0.00959015 -0.00765254 ... -0.01082969 -0.01253243
  0.00229642]",0.2570793059960943
48,"March 12 – 2022 Turkmenistan presidential election: Serdar Berdimuhamedow, son of former President Gurbanguly Berdimuhamedow, wins with 89% of the total votes.","[-0.00121724 -0.01401543 -0.0277751  ...  0.00539006  0.02422009
 -0.00058424]",0.25442667101551264
49,March 16 – Russian invasion of Ukraine: A Russian airstrike on the Mariupol Theatre in Mariupol kills an estimated 600 civilians sheltering inside.,"[-0.00890883 -0.00562189  0.00521986 ...  0.01020816  0.0163768
 -0.00047841]",0.12733234408000704
50,"March 19 – The apostolic constitution Praedicate evangelium, reforming the Roman Curia, is promulgated by Pope Francis, coming into force on 5 June.","[ 0.00095898 -0.01342238 -0.0091477  ...  0.01287725  0.00657158
 -0.02459773]",0.25828572720818876
51,"March 21 – China Eastern Airlines Flight 5735 crashes in Guangxi, China, killing all 133 people on board.","[-0.01212402 -0.00544607 -0.00636998 ...  0.01534829  0.00588917
 -0.00957225]",0.26552246779950806
52,"March 24 – Russian invasion of Ukraine: NATO announces that four new battlegroups totaling 40,000 troops will be deployed in Bulgaria, Hungary, Romania and Slovakia, along with enhanced readiness for potential chemical, biological, radiological and nuclear threats.","[ 0.00010671 -0.01734131  0.00775319 ... -0.00401228  0.02416412
 -0.00324503]",0.14615788587900647
53,"March 27 – The M23 offensive begins in North Kivu, Democratic Republic of the Congo.","[-0.0194328   0.00400689  0.00980601 ...  0.01575875  0.00693846
  0.01184786]",0.21107937250030961
54,March 29 – The Democratic Republic of the Congo is admitted to the East African Community.,"[ 0.00393963  0.00443248  0.0059363  ...  0.00910506 -0.00935149
 -0.00164757]",0.2568053899883971
55,"March 31 – Expo 2020 closes in Dubai after a 6-month run; originally scheduled for 10 April 2021, it was delayed due to the COVID-19 pandemic.","[-0.00312684 -0.04655766 -0.00169539 ... -0.00162981  0.03217842
 -0.01744941]",0.29212072274909295
56,"April 3 – Russian invasion of Ukraine: As Russia's forces retreat from areas near Kyiv, it is accused by Ukraine of war crimes, amid mounting evidence of indiscriminate civilian killings, including the Bucha massacre.","[-0.01213233 -0.01239847  0.00537484 ...  0.01850034  0.01415114
  0.00661144]",0.11145381276916022
57,"April 3 – The second round of voting of the 2022 Costa Rican general election is held, and Social Democratic Progress Party presidential candidate Rodrigo Chaves Robles is elected president.","[-0.02193422 -0.01456203 -0.00497883 ...  0.00450993 -0.01707587
  0.00614458]",0.2667470094204222
58,"April 4 – The Intergovernmental Panel on Climate Change (IPCC) releases the third and final part of its Sixth Assessment Report on climate change, warning that greenhouse gas emissions must peak by 2025 at the latest and decline 43% by 2030, in order to limit global warming to 1.5 °C (2.7 °F).","[-0.01041568 -0.01640791  0.002665   ...  0.01751377 -0.01571353
 -0.02666928]",0.2985517014106679
59,April 6 – The first known dinosaur fossil linked to the very day of the Chicxulub impact is reported by palaeontologists.,"[-0.01958363 -0.01162301 -0.0012049  ...  0.02584022  0.00862188
 -0.02319516]",0.26620703378515786
60,"April 7 – The UN votes by 93–24 to suspend Russia from the Human Rights Council, with 58 countries abstaining.",[0.01496322 0.00629035 0.00347293 ... 0.00635968 0.02639679 0.00227694],0.2119253388457517
